Title,Release_Year,Locations,Production_Company,Distributor,Director,Writer,Actor1,Actor2,Actor3,Coordinates
Blue Jasmine,2013,"Lombard & Hyde, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.8020045 -122.4196371
Blue Jasmine,2013,"5546 Geary Ave, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7805944 -122.4792302
Blue Jasmine,2013,"2898 Broadway, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.793335 -122.44471
Blue Jasmine,2013,"Motel Capri, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.79918500000001 -122.433029
Blue Jasmine,2013,"Marina Green, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.8062419 -122.4349436
Blue Jasmine,2013,"Ocean Beach at Lincoln, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.75939210000001 -122.510734
Blue Jasmine,2013,"Heald College, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7819286 -122.4041764
Blue Jasmine,2013,"330 Santa Clara Ave., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7342703 -122.4665605
Blue Jasmine,2013,"200 Post St. , San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.788804 -122.4053893
Blue Jasmine,2013,"2179 48th Ave, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7455566 -122.5072394
Blue Jasmine,2013,"The Ramp Restaurant, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7641206 -122.3867726
Blue Jasmine,2013,"303-305 S. Van Ness, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7682683 -122.4176369
Blue Jasmine,2013,"3563 20th St., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7584616 -122.420399
Blue Jasmine,2013,"Taylor & Green St., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7989091 -122.4139396
