Title,Release Year,Locations,Coordinates
Bullitt,1968,"Mansell & University Streets (Visitacion  Valley), San Francisco",37.7190781 -122.4110143
Bullitt,1968,"Larkin & Francisco Streets (Russian Hill), San Francisco",37.80356080000001 -122.4218062
Bullitt,1968,"Larkin & Chestnut Streets (Russian Hill), San Francisco",37.8027281 -122.4214442
Bullitt,1968,"Kennedy Hotel (226 Embarcadero at Howard Street), San Francisco",37.791817 -122.390872
Bullitt,1968,"John Muir Drive (Lake Merced), San Francisco",37.7156029 -122.4954571
Bullitt,1968,"Intersection of York & Peralta (Bernal Heights), San Francisco",37.747431 -122.4072802
Bullitt,1968,"Filbert & Taylor Streets (Russian Hill), San Francisco",37.8007601 -122.414327
Bullitt,1968,"Enrico's Caf� (504 Broadway), San Francisco",37.7981294 -122.4056449
Bullitt,1968,"Columbus & Lombard Streets (North Beach), San Francisco",37.8027549 -122.413728
Bullitt,1968,"Cesar Chavez & Mission Street (Mission), San Francisco",37.7482293 -122.4182139
Bullitt,1968,"Candlestick Park Exit, Highway 101, San Francisco",37.7159459 -122.3881452
Bullitt,1968,"Caf� Cantata (2040 Union Street), San Francisco",37.76968919999999 -122.450652
Bullitt,1968,"Brocklebank Apartments (1000 Mason Street), San Francisco",37.7931691 -122.4105791
Bullitt,1968,"Bay Bridge, San Francisco",37.7982799 -122.3778182
Bullitt,1968,"2700 Vallejo Street (Pacific Heights), San Francisco",37.7946105 -122.4420204
Bullitt,1968,"20th & Vermont Streets (Potrero Hill), San Francisco",37.759572 -122.4040259
Bullitt,1968,"1153-57 Taylor Street, San Francisco",37.7829257 -122.4109508
Burglar,1987,"California Academy of Sciences (Golden Gate Park), San Francisco",37.7698646 -122.4660947
Burglar,1987,"Green Valley Restaurant (510 Green Street Near Grant), San Francisco",37.799847 -122.40765
Burglar,1987,"1400 18th Street, San Francisco",37.7627149 -122.3968391
By Hook or By Crook,2001,"The Lexington Club (3464 19th Street at Lexington), San Francisco",37.76027 -122.4207979
By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District), San Francisco",37.76641 -122.4218672
